  5395.13  5484.223   20.7103    0.7928    0.27   0.01   4.01   0.05   0.94    68     0.29   0.01    3.89   0.06
 3359.449  7133.239    20.719    0.7253    0.35   0.01   1.84   0.01   0.35    -3     0.38   0.01    2.07   0.02
 5232.145  5781.505   20.7295    0.6896    1.06   0.04   4.30   0.09   0.67   -71     1.46   0.09    4.78   0.13
 2702.101  4190.933   20.7407    0.8237    0.34   0.01   3.57   0.04   0.67    13     0.44   0.01    4.29   0.07
 6108.692  6122.792   20.7837    0.8672    0.18   0.01   3.14   0.04   0.75   -66     0.21   0.01    3.14   0.04
 4501.516  4542.042   20.8278    0.7802    0.19   0.01   2.91   0.03   0.87   -14     0.23   0.01    3.18   0.04
 4244.253  6416.376   20.8409    0.6863    1.50   0.10   2.33   0.08   0.92   -52     0.72   0.01    0.53   0.01
  7614.74  5548.452    20.853    0.7759    0.37   0.01   2.15   0.02   0.43   -73     0.43   0.01    2.30   0.03
 3486.408  2833.617   20.8923    0.8679    0.18   0.01   2.40   0.02   0.67    65     0.20   0.01    2.97   0.03
  2829.83  4662.208   20.9688     0.804    0.28   0.01   4.47   0.08   0.78   -72     0.43   0.02    5.55   0.14
 6193.805  3225.412   20.9794    0.7331    0.94   0.04   3.67   0.09   0.59    32     1.29   0.09    4.25   0.13
   4339.1  4387.597   20.9884    0.7678    0.18   0.01   2.09   0.02   0.50   -43     0.21   0.01    2.18   0.02
  496.862  5286.735   20.9919    0.6154    1.27   0.13   8.81   0.33   0.82   -15     2.22   0.48    8.73   0.58
 2689.357  2878.305   21.0087    0.7073    0.38   0.01   2.04   0.02   0.58     7     0.40   0.01    1.98   0.03
 3118.251   6299.89   21.0111    0.7179    0.48   0.01   3.15   0.06   0.65    28     0.55   0.02    3.35   0.07
 4843.687  5710.137   21.0142    0.8731    0.10   0.01   3.17   0.05   0.67   -63     0.13   0.01    2.73   0.04
 7715.402  4665.156   21.0296    0.7219    0.36   0.01   0.73   0.01   0.72   -38     0.33   0.01    0.70   0.01
 6152.864  6431.101    21.049    0.6516    0.48   0.01   2.24   0.03   0.52   -14     0.54   0.01    2.12   0.03
 5093.363   6894.49   21.1014    0.7575    0.30   0.01   2.90   0.04   0.52    63     0.29   0.01    3.37   0.07
  3495.47  7408.846   21.1438     0.709    0.54   0.04   8.57   0.32   0.74   -90    -9.99  -9.99   -9.99  -9.99   
 7033.861  6597.644   21.1458    0.7004    0.31   0.01   2.12   0.02   0.72   -68     0.35   0.01    2.15   0.03
 3941.178  6755.569    21.208    0.6834    1.18   0.10   4.82   0.18   0.70   -80     2.16   0.33    6.21   0.31
 5409.353  8338.449   21.2329    0.9805    0.43   0.01   3.08   0.07   0.54    53     0.35   0.01    2.21   0.08
 3329.799  3290.304   21.2932    0.7343    0.38   0.01   2.53   0.04   0.45    55     0.37   0.01    2.35   0.04
 6233.282  6808.021   21.3565    0.7812    0.16   0.01   2.06   0.03   0.69    42     0.17   0.01    2.17   0.03
 5764.883  6272.958   21.3757    0.8779    0.09   0.01   1.90   0.03   0.44    64     0.10   0.01    2.18   0.05
 5056.865  5257.953   21.4787    0.7576    0.25   0.01   1.42   0.05   0.88    61     0.27   0.01    1.48   0.05
 4961.701  4023.794   21.4876    0.7232    0.63   0.06   7.12   0.30   0.83   -45     1.08   0.16    8.56   0.47
 5449.987  8655.354   21.5034    0.8169    0.36   0.01   3.07   0.07   0.42    19     0.37   0.03    3.15   0.23
 5161.419  5001.037   21.5498    0.7136    0.22   0.01   1.99   0.05   0.54    66     0.24   0.01    2.01   0.06
 3170.172  1620.271   21.5839     0.746    0.18   0.01   2.88   0.04   0.53   -83     0.19   0.01    2.89   0.05
 4886.685  7315.102   21.6205    0.7242    0.40   0.01   1.75   0.04   0.91    38     0.44   0.01    1.86   0.05
  4960.38   2435.95   21.6644    0.7197    0.45   0.01   1.50   0.03   0.56   -81     0.48   0.03    1.98   0.10
 3470.484  4921.965   21.7896    0.6434    0.76   0.02   1.40   0.03   0.31   -73     0.80   0.02    1.54   0.04
 5673.863  6974.877     21.83    0.7322    0.24   0.01   2.48   0.06   0.95    -7     0.28   0.01    2.85   0.09
 5508.928  7742.303    21.903     0.719    0.34   0.01   1.03   0.02   0.21   -33     0.36   0.01    0.87   0.02
 8208.742  3446.254   21.9354    0.8262    0.36   0.01   1.09   0.02   0.27    61     0.43   0.01    0.98   0.03
 3746.976  3254.745   21.9481    0.8484    0.98   0.01   0.52   0.02   0.39   -36     1.16   0.02    0.46   0.02
 7932.075  2614.389   21.9598    0.6362    0.40   0.01   0.93   0.02   0.29    -5     0.41   0.01    1.18   0.06
 5770.884  7001.838   22.0293    0.7627    0.63   0.01   0.72   0.02   0.83    55     0.64   0.01    0.33   0.01
 2540.492  2009.462   22.1094    0.7292    0.21   0.01   1.91   0.04   0.74   -81     0.23   0.01    2.07   0.07
 7125.465   7318.34   22.1101    0.6517    2.01   0.28   2.94   0.23   0.28    76     1.93   0.42    2.08   0.29
 6500.412   4096.88    22.152    0.5345    0.85   0.02   1.19   0.03   0.16   -17     0.97   0.02    1.02   0.03
 4411.686  2985.668   22.1618    0.7413    0.38   0.01   2.03   0.07   0.74   -53     0.37   0.01    1.91   0.06
 6358.614  6328.942   22.1724    0.6284    0.36   0.01   1.90   0.07   0.81   -65     0.39   0.01    1.78   0.06
  3068.75  1833.921   22.1786     0.639    0.39   0.01   1.76   0.05   0.67    90     0.39   0.01    1.58   0.05
 2867.787  2677.762   22.1849    0.6715    0.25   0.01   1.36   0.04   0.43    16     0.27   0.01    1.55   0.04
 5234.289  2393.081   22.2062    0.6865    0.18   0.01   2.34   0.06   0.53   -39     0.24   0.01    3.57   0.14
 6922.539  2837.741   22.2153    0.6494    0.30   0.01   1.47   0.07   0.55   -40     0.23   0.01    1.29   0.10
 3612.231  3207.114   22.2178    0.6719    0.18   0.01   1.13   0.08   0.49   -79     0.20   0.01    1.42   0.07
 7671.957   3394.56   22.2241    0.6865    0.30   0.01   1.34   0.03   0.80    34     0.32   0.01    1.38   0.03
 6225.979  6590.132    22.225    0.8273    0.25   0.01   1.68   0.04   0.81    28     0.24   0.01    1.93   0.10
 4454.884  4252.309   22.2565    0.6346    0.14   0.01   2.87   0.09   0.90    41     0.18   0.01    4.06   0.21
 4249.175  1817.808   22.3055     0.652    0.23   0.01   2.74   0.10   0.87   -55     0.27   0.01    3.17   0.14
 4559.884  5935.897   22.3363    0.8063    0.26   0.02   4.07   0.24   0.75   -82     0.32   0.05    5.37   0.45
 1418.547  3689.924   22.3759    0.7288    0.41   0.02   1.88   0.08   0.89   -20     0.45   0.02    1.84   0.08
 1591.529  3987.306    22.391    0.6524    0.23   0.01   1.74   0.05   0.66   -30     0.27   0.01    2.11   0.07
 3347.299  4463.039   22.4563    0.6332    0.48   0.06   4.00   0.28   0.90   -55     0.48   0.06    4.00   0.28
 5974.116   5877.96   22.4642    0.6198    0.24   0.01   1.51   0.08   0.79    63     0.22   0.01    1.86   0.10
 5241.342  5308.155   22.4928    0.7977    0.16   0.01   2.00   0.06   0.81   -62     0.17   0.01    3.03   0.17
